car
touring car compmod_P_parking
accident parking compmod_P_wash
parking driver compmod_P_accident
crash racing conj_D_truck
wash lap amod_D_armoured
racing motor compmod_D_concept
driver accident compmod_D_f1
truck truck conj_D_car
ferry formula dobj_P_race
bomb crash compmod_P_crash
race race compmod_P_bomb
motor ford conj_P_car
drive drive amod_D_armored
cable wheel compmod_P_ferry
manufacturer passenger partmod_D_race
formula vehicle amod_D_race
passenger stock dobj_P_drive
stock engine partmod_D_drive
steal sport compmod_D_formula
wheel safety compmod_P_racing
**********
bus
interchange bus conj_P_tram
rout transit conj_P_subway
terminal commuter conj_D_tram
depot taxi compmod_P_stop
taxi interchange compmod_D_serial
tram tram nsubj_P_rout
route terminal conj_D_taxi
shuttle depot compmod_P_terminus
operator route nsubj_P_route
parking metro compmod_P_interchange
shelter transport conj_D_bus
terminus terminus conj_P_bus
stop passenger conj_D_rail
bus truck compmod_P_shelter
service operator compmod_P_route
transit stop compmod_P_terminal
rapid transportation conj_P_rail
station service compmod_P_stand
lane connect compmod_P_passenger
metro rail compmod_P_depot
**********
hospital
psychiatric psychiatric amod_D_teaching
bed hospital appos_D_hospital
clinic bombay compmod_P_admission
sick clinic compmod_D_mercy
hospital bed amod_D_psychiatric
teaching medical compmod_P_bed
rush surgery conj_P_hospital
medical patient conj_D_hospital
emergency tamil compmod_P_stay
memorial teaching conj_D_clinic
recover care poss_D_christ
patient health appos_P_hospital
doctor emergency compmod_D_hopkins
care cancer compmod_D_teaching
injury medicine nsubj_P_treat
admit doctor compmod_D_memorial
treat facility poss_D_mary
dr memorial compmod_D_eye
nearby treatment compmod_D_general
stay trust compmod_D_presbyterian
**********
hotel
casino hotel conj_D_casino
hilton luxury appos_D_hotel
hotel resort compmod_P_lobby
luxury casino appos_P_hotel
restaurant plaza compmod_D_hilton
resort restaurant compmod_D_plaza
lobby inn conj_D_resort
plaza room compmod_D_neutral
room tourist compmod_D_savoy
inn guest conj_D_hotel
chain chain compmod_D_luxury
tourism shop conj_D_restaurant
lodge palace compmod_D_resort
guest stay conj_P_hotel
stay purchase compmod_P_casino
bar tower compmod_D_palace
downtown owner compmod_P_room
palace bar compmod_D_windsor
grand grand compmod_P_guest
historic historic compmod_D_milk
**********
gun
anti-aircraft anti-aircraft compmod_D_anti-aircraft
turret turret amod_D_rifle
machine gun compmod_D_machine
ammunition armament compmod_P_barrel
mortar ammunition dobj_P_aim
barrel machine compmod_D_deck
mm barrel amod_D_mounted
battery rifle conj_D_ammunition
gun battery conj_P_rifle
rifle artillery dobj_P_man
n deck conj_D_mortar
mount fire compmod_D_mm
shield weapon conj_D_gun
fire mount nsubjpass_P_mount
artillery tank conj_P_gun
deck assault dobj_P_jump
cannon rose compmod_P_nest
shot shot amod_D_anti-aircraft
instal heavy rcmod_D_fire
shoot shoot conj_P_sword
**********
bomb
explode explode partmod_P_suicide
atomic luftwaffe amod_D_pipe
disposal atomic nsubj_P_explode
explosion bomb nsubj_D_luftwaffe
blast bombing compmod_P_explode
luftwaffe ira compmod_P_disposal
raid explosion compmod_P_blast
hydrogen explosive partmod_D_plant
explosive bomber dobj_D_raid
ira injure compmod_P_explosion
sink hydrogen compmod_D_parcel
drop raid amod_D_atomic
shelter nuclear nsubj_D_nato
bomb drop compmod_D_hydrogen
terrorist sink compmod_D_cluster
suicide target dobj_P_plant
conventional aircraft conj_D_sink
raf plane compmod_D_ira
pipe kill nsubjpass_P_plant
injure damage nsubjpass_D_battery
**********
horse
thoroughbred thoroughbred conj_D_pony
mule mounted conj_D_mule
pony bombay compmod_D_harness
harness horse amod_D_thoroughbred
rid jockey compmod_D_trojan
trojan rid amod_D_bay
drawn rider dobj_P_ride
riding trailer conj_D_wagon
cart riding compmod_D_crazy
racing breed compmod_P_breeding
jockey racing conj_D_rider
rider cattle compmod_D_thoroughbred
crazy ride dobj_P_rid
cattle cavalry conj_P_bull
ride stake compmod_P_tram
artillery regiment compmod_P_cart
carriage artillery compmod_P_riding
trailer brigade compmod_P_racing
race race partmod_D_rid
brigade wild partmod_D_race
**********
fox
hound fox conj_D_hound
coyote hound conj_P_coyote
sac affiliation conj_P_hare
hunting cbs conj_P_sac
news nbc conj_P_abc
affiliate abc conj_P_beaver
sport affiliate compmod_P_hunting
rabbit sport compmod_P_ohio
reservation news compmod_D_gardner
affiliation programming conj_D_cat
fox 20th compmod_P_net
20th channel compmod_D_twentieth
deer network compmod_P_squirrel
64 kid compmod_D_kit
nbc hunt compmod_P_affiliation
abc soccer amod_D_gray
programming switch compmod_P_news
kid entertainment compmod_P_affiliate
network morning compmod_D_inspector
broadcasting broadcast compmod_P_sport
**********
table
tennis table compmod_D_periodic
picnic picnic compmod_D_following
periodic periodic compmod_P_tennis
table tennis amod_D_picnic
content gospel compmod_D_picnic
column row compmod_P_salt
chair column compmod_D_medal
following database amod_D_format
salt following amod_D_periodic
database content compmod_D_altar
row element compmod_D_aggregate
update medal conj_P_table
list format compmod_D_summary
medal template amod_D_rotary
round finish compmod_D_truth
mountain key compmod_D_breakfast
entry entry conj_P_chair
indicate round compmod_D_html
format contain compmod_D_column
finish list conj_D_table
**********
bowl
right-handed bowl rcmod_P_batsman
super super amod_P_alley
batsman right-handed dobj_D_pace
alley quiz conj_D_bowl
quiz steelers compmod_D_quiz
pro batsman conj_P_bowl
subdivision bowler compmod_D_insight
rose wicket compmod_D_rose
mvp rose compmod_D_bermuda
bowl pro compmod_D_pro
bowler sugar compmod_D_sugar
lawn nfl compmod_P_subdivision
sugar pace rcmod_P_ball
orange orange compmod_D_super
wicket cotton compmod_D_compass
cotton inning compmod_D_toilet
insight consecutive compmod_P_barrow
dust touchdown compmod_D_orange
inning ball compmod_D_lawn
consecutive yard dobj_D_green
**********
guitar
bass bass appos_P_vocal
acoustic guitar appos_D_vocal
amplifier percussion conj_D_amplifier
vocal acoustic compmod_P_flourish
keyboard vocal conj_D_vocal
rhythm drum conj_P_vocal
synthesizer keyboard conj_D_keyboard
percussion amplifier conj_D_bass
electric saxophone appos_D_bass
saxophone rhythm compmod_D_bass
drum line-up conj_D_percussion
pedal backing compmod_D_rhythm
solo electric compmod_P_solo
backing gibson conj_D_synthesizer
tenor piano amod_D_acoustic
chord violin conj_D_drum
gibson string compmod_P_intro
piano guitarist conj_D_guitar
guitar solo conj_D_saxophone
hero melody conj_D_trumpet
**********
piano
concerto cello conj_P_viola
sonata sonata compmod_P_opus
op concerto conj_P_cello
violin viola amod_D_aid
viola clarinet conj_P_violin
cello violin compmod_P_concerto
recital opus conj_D_op
clarinet op compmod_P_sonata
harp piano compmod_P_recital
lesson saxophone conj_P_harp
synthesizer trumpet compmod_P_cum
saxophone flute conj_D_violin
trumpet trio conj_P_clarinet
trio pianist conj_P_appreciation
flute lesson compmod_P_lesson
solo keyboard conj_P_saxophone
percussion guitar conj_P_trumpet
duet solo conj_P_voice
organ orchestra conj_D_flute
piano drum compmod_D_ph
**********
